username,title,business_size,validated_user,verified_current_user,review_source,date,rating,review_title,like_best,dislike,benefits
Joerg F.,CEO,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-16,5.0,"""Excellent and Reliable Affiliate Partner""","Awin offers an extensive range of partnership options with brands, which is one of its strongest points. The platform is user-friendly, cloud-based, and accessible from anywhere, making it easy to manage campaigns efficiently. Moreover, Awin consistently introduces numerous and attractive new advertisers through the network. The platform allows for the rapid creation of suitable affiliate links, and all data and statistics can be accessed through the API. Awin is continuously developing its platform, making it a highly reliable partner for us. Review collected by and hosted on G2.com.","However, Awin has small areas that could use improvement. The lack of direct customer support via email or phone can be a drawback, especially for issues requiring immediate attention.",
Benjamin V.,Head of Affiliate DACH,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-16,4.0,"""One of the best Affiliate-Networks""",The Tracking Integration is really straight forward. The MasterTag is a highly capable Solution to easily use all the different Opportunities of Affiliate-Marketing without extrwork for the Tech-Departement. You can access almost every tool trough the platform without extra help from the Support-Team. Therefore its easy to use. I use it everyday and enjoy the experience. Review collected by and hosted on G2.com.,The Tracking Integration is really straight forward. The MasterTag is a highly capable Solution to easily use all the different Opportunities of Affiliate-Marketing without extrwork for the Tech-Departement. You can access almost every tool trough the platform without extra help from the Support-Team. Therefore its easy to use. I use it everyday and enjoy the experience. Review collected by and hosted on G2.com.,
Michael H.,Chief Executive Officer,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-16,5.0,"""Excellent Partner and  Quality Service Providers""",They have a extensive quality of business partners,They have a extensive quality of business partners,
Kseniia K.,Founder of the project,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-25,5.0,"""Convenient and reliable company""","I have been using AWIN for several years now. I like the wide range of companies that can be partnered with. The user-friendly interface of the personal account. I had questions several times, and their employees always tried to help and answered in great detail. This is a reliable company that you can trust and work with comfortably. Review collected by and hosted on G2.com.","I have been using AWIN for several years now. I like the wide range of companies that can be partnered with. The user-friendly interface of the personal account. I had questions several times, and their employees always tried to help and answered in great detail. This is a reliable company that you can trust and work with comfortably. Review collected by and hosted on G2.com.",
Verified User in Sporting Goods,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-22,5.0,"""Great CMS!""","As a publisher, my experience with Awin has been incredibly positive due to its exceptional ease of use. The platform's intuitive interface makes finding and joining relevant programs straightforward. I particularly appreciate the seamless integration process and the ease of accessing a wide variety of high-quality advertisers. The dashboard is user-friendly, providing clear insights and comprehensive analytics that help me optimize my campaigns effectively.","As a publisher, my experience with Awin has been incredibly positive due to its exceptional ease of use. The platform's intuitive interface makes finding and joining relevant programs straightforward. I particularly appreciate the seamless integration process and the ease of accessing a wide variety of high-quality advertisers. The dashboard is user-friendly, providing clear insights and comprehensive analytics that help me optimize my campaigns effectively.",
Kevin K.,YouTube Creator,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-16,4.5,"""The best Affiliate Program for Publishers""","I really love AWIN, because the platform is very user friendly, there are many well known company's running their affiliate programs - and the cookies & link builder are also perfectly running. Review collected by and hosted on G2.com.","I really love AWIN, because the platform is very user friendly, there are many well known company's running their affiliate programs - and the cookies & link builder are also perfectly running. Review collected by and hosted on G2.com.",
Sharon R.,CEO,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-18,5.0,"""Recomend Awin""",I love the ease of use of the software. There are a lot of companies that use Awin and this makes it easier to find the right products. Their customer support it excellent. Review collected by and hosted on G2.com.,I love the ease of use of the software. There are a lot of companies that use Awin and this makes it easier to find the right products. Their customer support it excellent. Review collected by and hosted on G2.com.,
"Verified User in Leisure, Travel & Tourism",,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-30,4.5,"""Easy to Use Afilliate Platform""","AWIN is easy to use and navigate.  Creating links is a quick and easy process with the added benefit that you can also instantly shorter them, Review collected by and hosted on G2.com.","AWIN is easy to use and navigate.  Creating links is a quick and easy process with the added benefit that you can also instantly shorter them, Review collected by and hosted on G2.com.",
Patricia  R.,Ceo,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-16,5.0,"""Portal de afiliación recomendado""",Awin es uno de los mejores portales con los que he trabajado. Tiene un montón de empresas asociadas y un buen seguimiento de las estadísticas y Comisiones. Review collected by and hosted on G2.com.,Awin es uno de los mejores portales con los que he trabajado. Tiene un montón de empresas asociadas y un buen seguimiento de las estadísticas y Comisiones. Review collected by and hosted on G2.com.,
Alessandro D.,Solution Architect,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-18,4.5,"""Review Awin de marchi""",Platform and user data are very simple and usable Review collected by and hosted on G2.com.,Platform and user data are very simple and usable Review collected by and hosted on G2.com.,
