username,title,business_type,business_size,validated_user,verified_current_user,review_source,incentivized_review,date,rating,review_title,like_best,dislike,benefits
Verified User in Retail,Small-Business(50 or fewer emp.),,,Yes,Yes,Organic,No,11/15/23,0,"Terrible Program, Negative Impact to Revenue, Full of Coupon/Scam Traffic - No Value, Terrible.","A nice tool to outreach to the database of affiliates. We contacted thousands, no-one ever replied, even ones we know personally never recieved the message. Nice tools in practise, CJ takes your minimum monhtly payment and provided no value, even negative impact on revenue",CJ has only coupon affiliates which means you end up paying for customers you already have or would attract without any impact from CJ. These means your CAC increases. This means it costs you more money to work with CJ,We wanted to join an affiliate program and expand our inhouse affiliate program.
Verified User in Publishing,Small-Business(50 or fewer emp.),,,Yes,No,Organic,No,10/13/23,0,Missing Funds and Unresponsive Customer Support,"The ONLY thing I like about CJ.com is the common advantage of such affiliate platforms: it centralizes performance tracking and earnings from various campaigns into one account, reducing the need to interact with multiple companies or issue numerous invoices. However, the negatives have outweighed this sole benefit. After over a decade of affiliation, the severe issues I faced have led me to transition to direct affiliations with key companies.","I have been an affiliate with CJ.com for a decade now, and over the years I have always found their service to be lacking.","The only advantage is the centralization of affiliations into a single account. But since the earned money disappears without explanations, it's not worth it anyway."
Yashwant P.,Freelance,Small-Business,(50 or fewer emp.),Yes,No,G2 invite,Yes,7/10/23,4.5,One of the best and flexible affiliate advisor,CJ affiliate is one of the best affiliate finder in the as it allows to get better advertising campaigns as per the individual preference and easy to use as well instead of google. Also there is no membership fee for joining this platform. It is the best affiliate program I have ever seen.,Everything is at good place but CJ affiliate requires you to meet their minimum performance threshold otherwise the membership of the affiliate can be terminated from the platform or he/she may not receive any further campaigns.,"While using Google, we have faced problems like controlling our ads over website. But CJ affiliate allows us to choose the best suitable advertisements to show up according to our preference."
Taylor H.,Creative Strategist,Small-Business,(50 or fewer emp.),Yes,Yes,G2 invite,Yes,5/25/23,2.5,It's okay,The software deployment team I worked with initially to launch our program was very kind and helpful. The interface is simple enough.,Kind of costly on a month to month basis without seeing much value back yet. I've already encountered a handful of fraudulent publishers on the platform so I don't think they vet publishers (and perhaps advertisers) well enough.,Helps us connect to wider audiences.
Harinder S.,Small-Business(50 or fewer emp.),,,Yes,No,Organic,No,5/18/23,0,Grab Your Hard Earn Money without any Prior Intimation,The CJ platform has many affiliate programs,Poor customer service,Inferior customer service. No Cooperation from their end to Affiliates or Sub-network.
Bhabisya B.,Content creator,Small-Business,(50 or fewer emp.),Yes,No,G2 invite,Yes,4/21/23,5,The biggest Affiliate Network,"CJ Affiliate has a vast number of affiliate programs which I like the most. And have lots of features compared to other networks, which also I like.","What I dislike are their payout methods. I must have a US bank account or use Payoneer. I can't use my bank account directly or receive payment via PayPal. And their minimum payout is also $50, which I don't like.",I'm using CJ Affiliate to join the affiliate program of different brands to promote their products and services via my blog and social media. And it has helped me a lot to increase my revenue.
Ryan C.,Freelance Creative Director,Small-Business,(50 or fewer emp.),Yes,No,G2 invite,Yes,4/19/23,4,My Experience with CJ Affiliate,"Impressed with CJ Affiliate's vast network of advertisers, flexible commission structures, and reliable payments. User-friendly platform with helpful support and resources for improving affiliate marketing skills. Highly recommended for anyone starting or expanding their affiliate network.","Positive experience with CJ Affiliate, but dislike high minimum payout threshold, the slow approval process for affiliate programs, and limited reporting and analytics tools. Still a valuable platform with a vast network of advertisers and flexible commission structures.","CJ Affiliate solves the problem of finding relevant products to promote by offering a vast network of advertisers. This benefit, combined with flexible commission structures and reliable payments, makes it easier for me to earn income through affiliate marketing."
Meghan E.,Compliance Manager,Consumer Services,,Yes,Yes,G2 invite,Yes,4/18/23,4,Easy to manage affiliates!,I like that you can keep multiple affiliates in one location to help keep track and see any earnings.,May not be CJ Affiliates issue but some companies will never get back to you. Should maybe just expire.,Keeping our affiliates in one location. Searching new affiliates we may already use.
Austin Z.,Marketing Manager,Small-Business,(50 or fewer emp.),Yes,No,G2 invite,Yes,4/18/23,5,The place to be if you are an online affiliate,It has a ton of opportunies to promote products due to the size of the the network. You can find just about anything to promote.,It can be a little hard to join up and some of the the way they organize the affiliates can sometimes feel like it could be done better.,I needed products and services to promote and they provide everything you need to do that.
Satyam V.,Founder,Small-Business,(50 or fewer emp.),Yes,Yes,G2 invite,Yes,4/12/23,4,A Reliable Affiliate Marketing Network,"CJ Affiliate Network has many campaigns for different regions, including India and USA. They have a good approval rate for campaigns. If they decline your application, they provide helpful feedback to improve your website.",Their tracking system could use improvement.,CJ Affiliate offers good commissions to its publishers and shares details so that they can connect directly with the advertiser for approval of specific programs. This is beneficial for publishers.
