username,title,business_size,validated_user,verified_current_user,review_source,date,rating,review_title,like_best,dislike,benefits
"Verified User in Health, Wellness and Fitness",,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,4.5,"""Great and versatile!""",I like the many functionalities of Impact -- the ability to customize each affiliate and to also get robust reporting every week. I also like that most affiliates are on Impact so we don't have an issue working some clients. Review collected by and hosted on G2.com.,The interface could be more user-friendly. There is a lot of information and features of Impact which is normal but I feel like more can be done in terms of making it easier for a new customer to navigate. Review collected by and hosted on G2.com.,
Verified User in Entertainment,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-19,5.0,"""Everything works just perfect""",I like the dashboard with the most important results of the campaigns. It's straightforward to understand. I also like the right widget to create links. Fast and easy to make them. Review collected by and hosted on G2.com.,I like the dashboard with the most important results of the campaigns. It's straightforward to understand. I also like the right widget to create links. Fast and easy to make them. Review collected by and hosted on G2.com.,
"Verified User in Leisure, Travel & Tourism",,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Everything works fine and support team replies quickly.""",It is beneficial that all the statistics are collected from different programs in the same dashboard. Review collected by and hosted on G2.com.,It is beneficial that all the statistics are collected from different programs in the same dashboard. Review collected by and hosted on G2.com.,
Verified User in Information Technology and Services,Founder,Small Business (50 or fewer emp.),No,No,In-app,2022-11-19,5.0,"""One of the Best Affiliate Platforms""",- Plenty of Affiliate Programmes,- Plenty of Affiliate Programmes,
Verified User in Writing and Editing,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-19,5.0,"""It is one of the best afffiliate platforms that I ever tried.""",I like how it makes me connect with large brands so easily. Review collected by and hosted on G2.com.,I like how it makes me connect with large brands so easily. Review collected by and hosted on G2.com.,
Ahsan A.,Ecommpremium Information Technology and Services,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""Impact Really Made Our Existence online Beneficial""",In lessthen 5 Seconds we can haveaffiliation with brands in mpact marketplaceasapartnerandcontent creator. Review collected by and hosted on G2.com.,In lessthen 5 Seconds we can haveaffiliation with brands in mpact marketplaceasapartnerandcontent creator. Review collected by and hosted on G2.com.,
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,4.5,"""Good work tool""",Excellent control of activity by associated store and effectiveness in the payment process Review collected by and hosted on G2.com.,Excellent control of activity by associated store and effectiveness in the payment process Review collected by and hosted on G2.com.,
Verified User in Internet,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Easy-to-use and detailed reporting""",It's really easy to use and not complicated. I also like the detailed reporting options. Review collected by and hosted on G2.com.,It's really easy to use and not complicated. I also like the detailed reporting options. Review collected by and hosted on G2.com.,
Verified User in Consumer Electronics,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""I am very impressed and happy with the full support of Impact""","Impact never disappoints its associate partners. Even if you don't have any sales, Impact never leaves you. Thanks you peoples for your support. regards. Review collected by and hosted on G2.com.","Impact never disappoints its associate partners. Even if you don't have any sales, Impact never leaves you. Thanks you peoples for your support. regards. Review collected by and hosted on G2.com.",
NettPreneur M.,Marketing Consultant,Small Business (50 or fewer emp.),No,No,In-app,2022-11-19,5.0,"""An IMPACTFUL Experience""","IMPACT has one of the best user interface, i find it really easy to navigate. Review collected by and hosted on G2.com.","IMPACT has one of the best user interface, i find it really easy to navigate. Review collected by and hosted on G2.com.",
Verified User in Photography,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-21,5.0,"""Everything you'll need for affiliate marketing.""",I can setup custom dates for my reports to see my income over a specific period of time. Review collected by and hosted on G2.com.,I can setup custom dates for my reports to see my income over a specific period of time. Review collected by and hosted on G2.com.,
Fred C.,Product Manager chez Eloquant.com,Small Business (50 or fewer emp.),No,No,G2 invite,2022-08-31,4.0,"""A nice affiliation tools, but need more quality programms""","Impact.com has few high quality programm like Canva, Hubspot, buzzsumo... but too few challengers solutions to promote.","Impact.com has few high quality programm like Canva, Hubspot, buzzsumo... but too few challengers solutions to promote.",
Verified User in Automotive,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-20,5.0,"""Awesome site for making cash""",It makes it easy to talk to companies and start relationships with them Review collected by and hosted on G2.com.,It makes it easy to talk to companies and start relationships with them Review collected by and hosted on G2.com.,
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Great Partnership""",We've loved working with our support team and the ability to easily find new partners through the network. Review collected by and hosted on G2.com.,We've loved working with our support team and the ability to easily find new partners through the network. Review collected by and hosted on G2.com.,
Russell J.,IT Consultant Information Technology and Services,Small Business (50 or fewer emp.),No,No,In-app,2023-12-18,5.0,"""My Favorite Affiliate Marketplace!""","All the affiliate programs that fit my niche are on available on Impact, which make it really convinient for me, an all-in-one marketplace for me. Review collected by and hosted on G2.com.","All the affiliate programs that fit my niche are on available on Impact, which make it really convinient for me, an all-in-one marketplace for me. Review collected by and hosted on G2.com.",
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-19,5.0,"""the best affiliate system that I Joined""","Impact is the most affiliate system that I like, it offer high number of brands and easy to use Review collected by and hosted on G2.com.","Impact is the most affiliate system that I like, it offer high number of brands and easy to use Review collected by and hosted on G2.com.",
Verified User in Information Technology and Services,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""Impact is the best affiliate marketplace in recent times""",Easy maintainable interface and smooth payment process. A perfect beginner friendly affiliate marketplace. Review collected by and hosted on G2.com.,Easy maintainable interface and smooth payment process. A perfect beginner friendly affiliate marketplace. Review collected by and hosted on G2.com.,
Verified User in Entertainment,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,4.5,"""Very wonderful to have all the brands and tool that I need.""",I like the easy of being able to create affiliate links that i can use on my website. Review collected by and hosted on G2.com.,I like the easy of being able to create affiliate links that i can use on my website. Review collected by and hosted on G2.com.,
Verified User in Design,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-21,4.5,"""Excellent !!! Impact service is realy excellent. I am Satisfied""",Actually I take support service from impact and this is really good. Review collected by and hosted on G2.com.,Actually I take support service from impact and this is really good. Review collected by and hosted on G2.com.,
Verified User in Apparel & Fashion,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Marketing""",impact.com helps me market my business. The links and images are professional and easy to use. The layout is user friendly. Review collected by and hosted on G2.com.,impact.com helps me market my business. The links and images are professional and easy to use. The layout is user friendly. Review collected by and hosted on G2.com.,
Bob H.,CEO,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""Impact Affiliates""",Ease of use. Impact has a concise dashboard with snapshot analytics on the same page. Payout is also fast. Review collected by and hosted on G2.com.,Ease of use. Impact has a concise dashboard with snapshot analytics on the same page. Payout is also fast. Review collected by and hosted on G2.com.,
Verified User in Consumer Services,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""Impact - Excellence""","Snapshot is most helpful on Impact. You can quickly analyze your clicks, actions, and payouts in this section. Review collected by and hosted on G2.com.","Snapshot is most helpful on Impact. You can quickly analyze your clicks, actions, and payouts in this section. Review collected by and hosted on G2.com.",
Verified User in Accounting,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Impact was easy to use and the dashboard displays all important stats at once.""",UI of impact.com looks clean and it displays the important statistics in one place without navigating to different tabs and sections. Review collected by and hosted on G2.com.,UI of impact.com looks clean and it displays the important statistics in one place without navigating to different tabs and sections. Review collected by and hosted on G2.com.,
Verified User in Apparel & Fashion,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,3.5,"""not easy to use""",I only like that my main partner accounts are here. Review collected by and hosted on G2.com.,I only like that my main partner accounts are here. Review collected by and hosted on G2.com.,
Verified User in Design,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Great Affiliate Support""","I love the support team, they are very quick to address concerns and keep communication open and regular. Review collected by and hosted on G2.com.","I love the support team, they are very quick to address concerns and keep communication open and regular. Review collected by and hosted on G2.com.",
"Verified User in Health, Wellness and Fitness",,Mid-Market (51-1000 emp.),No,No,In-app,2022-11-17,5.0,"""The possibilities are endless.""","What I like best are the multiple possibilities within the platform. I enjoy seeing the fact that there is always new things have been added. Compared with competitors, it is a solid platform where one can be approved for certain affiliates where other partners may require more experience. Review collected by and hosted on G2.com.","Sometimes I feel that their customer service representatives forget about my requests and do not reply to my questions. As I currently still have a ticket in process, and it has been almost a month :) Thank you. Review collected by and hosted on G2.com.",
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,4.5,"""Really easy to use, all the payments in time.""",The main point why I like impact is that it is so easy to use and allows me to have all my affiliate products in just one place. I don't have to worry about anything. Review collected by and hosted on G2.com.,The main point why I like impact is that it is so easy to use and allows me to have all my affiliate products in just one place. I don't have to worry about anything. Review collected by and hosted on G2.com.,
