username,how_many_reviews,location,date,rating,rating_title,rating_description,date_of_experience
Ellen White,1,CA,An hour ago,Rated 5 out of 5 stars,Diana answered all of my questions and…,Diana answered all of my questions and took care of the issues I was having. I appreciate the speed with which she was able to resolve my situation,"September 03, 2024"
Arnold Pessoa,2,US,4 days ago,Rated 5 out of 5 stars,Sebastian was a great help for me,"I had a great experience with Sebastian, my CB support. He was friendly, knowledgeable, and pretty fast. He was also very supportive. I greatly appreciate his help today.","August 30, 2024"
jujo,1,US,6 days ago,Rated 5 out of 5 stars,Very good customer service,"customer service was great fixed my problem with ease ,that made me surprised other sites take long to look up my info let alone fix it with such speed.","August 28, 2024"
Sharon Metcalfe,2,US,8 hours ago,Rated 5 out of 5 stars,Great Customer Service,Karime was very nice and courteous. Very prompt and he quickly resolved my issue. Best customer service I have had in a long time!!,"September 03, 2024"
Sue Schrader,1,US,3 days ago,Rated 5 out of 5 stars,My wait time was brief,My wait time was brief. Because I had my order # Francisca was able to find my order. Her response was quick! I’m waiting just now for the email that will complete my request.,"August 31, 2024"
Eloise,1,US,7 days ago,Rated 5 out of 5 stars,She was very compassionate with my…,She was very compassionate with my feelings of losing my beautiful fur baby.  She answered every question and made me feel that this company is very loyal.,"August 27, 2024"
Stefanie Nocum Santarina,1,US,"Aug 27, 2024",Rated 5 out of 5 stars,And the Award for the Best Customer Service Chat Agent Goes to Diana!,"Diana was absolutely excellent! She was very thorough, professional, empathetic, and patient. She researched my orders, chatted back to me all of the info to date on my orders and the refunds, helped answer my questions very quickly, and escalated my issues since they were not addressed by the seller.","August 27, 2024"
Amy MoreHouse,1,US,5 days ago,Rated 5 out of 5 stars,Angel is a great customer service rep.,"Angel was kind, fast and efficient! I had no clue what any of this was, she explained everything helped me out and I got on with my day in a matter of a few minutes! great customer service!","August 29, 2024"
Stella Tumenta-Hashemi Tari,2,US,4 days ago,Rated 5 out of 5 stars,Francesca was very professional,Francesca was very professional. She provided the help and assistance I needed and resolved the issue. Thank you.,"August 30, 2024"
William McManus,4,US,6 days ago,Rated 5 out of 5 stars,I contacted support at Pocket Sized ATM…,"I contacted support at Pocket Sized ATM Machine with no result in my request to cancel my purchase and get a refund.  However, when I contacted Clickbank and chatted with Emanuel, he was quick to respond and assisted in addressing my issue in a very professional and timely way.","August 28, 2024"
Dc,1,CA,A day ago,Rated 1 out of 5 stars,Waste of time as an affiliate marketer,Bad to use as an affiliate marketer.  They ban your account if you don’t make any sale at all.  It doesn’t make much sense as it’s supposed to be free to use.,"September 02, 2024"
Gwendolyn Thompson,1,US,"Aug 21, 2024",Rated 5 out of 5 stars,Very  satisfied person,"The person,  Fernando was really  helpful and courteous and attentive to my request.  Gave me the No Hassle  feedback.  I deeply  appreciate that. Very  seldom do you get good responses on refund requests. Made me feel at ease and my day will go smoothly. Thanks","August 21, 2024"
Sailele Saufoi,2,AU,"Aug 27, 2024",Rated 5 out of 5 stars,I was so worried how to find out about…,I was so worried how to find out about my order but now I know it's on the way . Sebastian was very helpful and responsive,"August 28, 2024"
Jeremy Thomas,1,US,"Aug 27, 2024",Rated 5 out of 5 stars,Emanuel did a good job answering my…,Emanuel did a good job answering my questions and sent my other question to tge vendor. Good customer service.,"August 27, 2024"
me,2,NL,"Aug 27, 2024",Rated 1 out of 5 stars,Worthless customer service,Don’t expect any help from their custommer service. Either they do not know what they are doing or they genually think they can fool you with general answers that do not help with your issue.,"August 27, 2024"
Paula,2,US,3 days ago,Rated 5 out of 5 stars,Francisca was very prompt with…,Francisca was very prompt with assisting me and was able to resolve my issue.,"August 31, 2024"
Teresa Gail Graham,1,US,2 hours ago,Rated 5 out of 5 stars,Sebastian did a nice job,Sebastian did a nice job of answering my questions,"September 03, 2024"
MYLES P,17,US,"Aug 26, 2024",Rated 1 out of 5 stars,Terrible customer service,"Hello, Thank you for reaching out! Unfortunately, we cannot offer you an account at this time. For security reasons, we are unable to release specifics regarding why the system has declined your attempt to sign up and we are unable to override this type of decline. We suggest trying again in 3 months as risk patterns may change. We understand the frustration, but sincerely appreciate your understanding! *** With this reply, we are setting your ticket status to “resolved."" If you need to provide additional information, if your issue has not been resolved, or if you need further assistance, please reopen this ticket and we will be happy to assist. ***","August 26, 2024"
Randall Patterson,1,US,"Aug 25, 2024",Rated 3 out of 5 stars,Clickbank was utilized as a means to…,"Clickbank was utilized as a means to start an affiliate marketing side hustle for 'Pocket Sized ATM' and it didn't work for me.  Too difficult to set up as a beginner.  No negative comments about the Clickbank process, just the package I bought and the instructional videos were not easy to follow that the package creator had created.  Not Clickbank.  My refund request experience with Emmanuel was easy and straight forward.  I would recommend Clickbank if the need ever arises.","August 25, 2024"
Crystal Sholar,1,US,"Aug 27, 2024",Rated 5 out of 5 stars,Customer service was excellent.I was…,Customer service was excellent.I was able to get a refund but no problems.Thank you so much,"August 27, 2024"
Gail Taylor,1,US,"Aug 17, 2024",Rated 5 out of 5 stars,Sebastian was a great help,Sebastian was a great help. He made everything so easy. He explained everything to me. I am just upset  that I can't take the full opportunity at this time. Good company interaction was painless. I would do business with this company again.,"August 16, 2024"
praju khatri,1,NP,3 days ago,Rated 1 out of 5 stars,I hate it I wanted to be a affiliate…,I hate it I wanted to be a affiliate marketer but I cannot  sign in because  my country is not there,"September 01, 2024"
Anastasia,9,GB,"Aug 17, 2024",Rated 5 out of 5 stars,Francisca was absolutely amazing,"Francisca was absolutely amazing. She helped me within a minute to find a solution of receiving my digital products from the seller. Thank you so, so much.","August 17, 2024"
Faisal Dargan,1,PK,"Aug 26, 2024",Rated 5 out of 5 stars,Click bank is the best company in the…,Click bank is the best company in the world best affiliate program provides,"August 26, 2024"
Jim Turk,2,US,"Aug 15, 2024",Rated 5 out of 5 stars,No personal help with order problem,Francesca (sp?) was great and very helpful for what she is allowed to do (she deserves 5 stars)Only gave 4 stars bcs she was not allowed to solve my problem of getting the 3rd offer or even have a phone # or chat line for me to call for help.,"August 15, 2024"
blendseasy,1,US,5 days ago,Rated 5 out of 5 stars,Quick service,Quick response and sent me the information I need.,"August 29, 2024"
Imaoni Thomas,1,US,6 days ago,Rated 4 out of 5 stars,Regina did great with escalating my…,Regina did great with escalating my case so that I could get I response and help sooner but I really wish that instead of an email Click Bank had a number I could call with this issue so that I could make the payment over the phone.,"August 28, 2024"
Fana Tiek,3,NL,"Aug 24, 2024",Rated 5 out of 5 stars,I hope the ticket she create for the…,I hope the ticket she create for the seller will work but she was fast in doing this,"August 24, 2024"
Irene Garza,1,US,"Aug 22, 2024",Rated 4 out of 5 stars,I have been trying to sign up but i…,"I have been trying to sign up but i always get a vido and on the bottom the options to sign up or log in, i click on sign up but it does not give mi another page to do so, can someone help me please...thanks","August 21, 2024"
Regis,3,US,"Aug 8, 2024",Rated 5 out of 5 stars,Diana took care of my issue right away…,"Diana took care of my issue right away and will follow through. The process which I thought would be troublesome, has been handled by her so it makes it much easier.","August 08, 2024"
Linda Humphries,1,US,"Aug 22, 2024",Rated 5 out of 5 stars,Great customer service chat.,Karen understood what I needed and resolved the problem quickly. Thank you!,"August 22, 2024"
Lynda,2,US,"Aug 10, 2024",Rated 5 out of 5 stars,Francisca has been very helpful with return,"Francisca has been very helpful with assisting me with my return of product.  Also, I am appreciative with how easy this return process has been.","August 10, 2024"
Sandra Barnhart,2,US,"Jul 8, 2024",Rated 5 out of 5 stars,Return Policy Much Appreciated,"I appreciate your return policy being much more reasonable than most. I rarely buy if I’m not quite sure, but it’s wonderful to have the option to return. Your policy shows you trust your customer, therefore I’m much more inclined to trust & therefore enjoy your company. Thank you very much.","July 04, 2024"
sewinghabit,4,US,"Aug 16, 2024",Rated 5 out of 5 stars,Francisca was very speedy with an…,Francisca was very speedy with an answer to my issues thank you very much I appreciate it.,"August 16, 2024"
tonya baker,1,US,"Aug 14, 2024",Rated 5 out of 5 stars,The representative Karen,"The representative Karen, apologized for the wait. Then empathized with the issue I was having then took care of my issue in seconds. Great experience!!","August 14, 2024"
Parking.com Customer,2,US,"Aug 18, 2024",Rated 5 out of 5 stars,Sebastian @ clickbank,Sebastian @ clickBank was so wonderful and understanding was able to get me a refundedwas very helpful. I explained my sistuation and he comfirmed everything for me.,"August 17, 2024"
Jennifer Taylor,2,US,"Aug 16, 2024",Rated 5 out of 5 stars,Chantal answered my question with ease,Chantal answered my question with ease. She also handled the resolution quickly and perficiantly.,"August 16, 2024"
Terry Skidmore,1,AU,5 days ago,Rated 4 out of 5 stars,Me request for a refund was handled…,Me request for a refund was handled quickly and efficiently.,"August 30, 2024"
Clyde,1,PH,"Aug 24, 2024",Rated 5 out of 5 stars,Customer service was excellent,Customer service was great. Francisca assisted me excellently with no problems at all.,"August 24, 2024"
